,Acousticness,Album,Artist,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,TimeSignature,Valence
280,0.206,18 & 18 B-Sides,Moby,0.412,266200,0.537,False,0.631,0.14,-10.476,1,Signs Of Love,29,0.0303,91.412,4,0.0962
310,0.0329,18 - B Sides,Moby,0.495,235787,0.381,False,0.892,0.148,-8.909,0,Afterlife,19,0.0254,85.012,4,0.24
340,0.0056,Animal Rights,Moby,0.498,237440,0.882,False,6.31e-06,0.114,-3.403,1,That's When I Reach for My Revolver,36,0.0402,145.829,4,0.106
370,0.0388,Disco Lies,Moby,0.806,425347,0.787,False,0.0421,0.0508,-7.145,0,Disco Lies - Eddie Thoneick Vocal Mix!,3,0.165,127.976,4,0.471
400,0.000602,Everything Is Wrong,Moby,0.547,317200,0.604,False,0.695,0.855,-14.26,0,First Cool Hive,27,0.037,100.943,4,0.346
430,0.217,Hotel,Moby,0.66,219013,0.237,False,0.863,0.0853,-13.19,1,Forever,15,0.042,94.877,4,0.672
460,0.978,Hotel Ambient,Moby,0.0613,939720,0.0733,False,0.931,0.0594,-24.935,0,Live Forever - Long,25,0.0435,61.718,4,0.0312
490,0.26,"Innocents (Live at the Fonda, LA)",Moby,0.551,366867,0.496,False,0.00958,0.652,-13.761,1,A Long Time,0,0.0411,93.073,4,0.341
520,0.659,Innocents - Live at the Fonda (Live),Moby,0.412,328400,0.388,False,0.0,0.651,-14.472,1,The Perfect Life (Acoustic Reprise) [Live],8,0.0274,88.575,4,0.34
550,0.765,iTunes: Live from Montreal,Moby,0.315,203800,0.0562,False,0.0,0.961,-14.704,0,Walk With Me - Live,4,0.0378,108.33,4,0.114
580,0.886,Last Night,Moby,0.194,293800,0.326,False,0.0379,0.389,-10.188,0,Last Night,0,0.0396,76.784,3,0.0467
610,0.889,Moby,Moby,0.601,189000,0.102,False,0.923,0.111,-21.029,0,Stream,12,0.0654,197.18,4,0.387
640,0.0228,Music from Porcelain,Moby,0.797,296093,0.755,False,0.0,0.202,-8.661,1,I'll House You,3,0.192,123.218,4,0.801
670,0.85,Play,Moby,0.552,288600,0.254,False,0.918,0.105,-17.757,1,Inside,45,0.0314,95.032,4,0.0395
700,0.2,Play & Play: B Sides,Moby,0.5,287360,0.514,False,0.598,0.0881,-14.635,0,Flying Over the Dateline,19,0.0905,109.984,3,0.245
730,0.0868,Play & Play: The B Sides,Moby,0.549,425733,0.555,False,0.79,0.0844,-13.541,1,Running (B-Sides),21,0.0373,140.014,4,0.863
760,0.768,Porcelain (Gekürzte Lesung),Moby,0.624,115501,0.185,False,0.0,0.191,-24.369,1,"Porcelain, Kapitel 18",3,0.956,150.928,1,0.583
790,0.702,Porcelain (Gekürzte Lesung),Moby,0.621,75848,0.182,False,0.0,0.206,-24.785,0,"Porcelain, Kapitel 48",3,0.957,83.251,1,0.626
820,0.00408,The Last Day,Moby,0.629,290909,0.662,False,0.553,0.335,-5.928,1,The Last Day - Moby May 14 Remix,5,0.0311,98.99,4,0.595
850,0.989,Wait For Me - Ambient,Moby,0.101,265200,0.0897,False,0.301,0.112,-18.367,0,Wait for Me - Ambient,1,0.039,79.002,4,0.176
19,0.0257,A Girl Can Mack,3LW,0.644,241107,0.527,False,2.54e-06,0.157,-7.688,0,This Goes Out,16,0.349,181.548,3,0.338
15,0.203,7,S Club 7,0.614,218040,0.676,False,0.0,0.0874,-7.398,1,I'll Keep Waiting,20,0.0501,172.554,4,0.907
45,0.344,Sunshine,S Club 7,0.533,210867,0.84,False,0.0,0.343,-5.144,1,It's Alright,28,0.106,169.86,4,0.868
25,0.334,Your Woman,Sunshine Anderson,0.711,215560,0.641,False,2.55e-05,0.106,-4.703,1,"He Said, She Said",20,0.0664,96.017,4,0.463
14,0.0832,"13 Super Exitos, Vol. 2",Azul Azul,0.797,246840,0.756,False,0.00118,0.228,-7.411,1,El Peor de Mis Fracasos,7,0.0461,110.755,4,0.78
44,0.332,"2 Grandes Potosinos, Vol. 2",Azul Azul,0.722,175373,0.651,False,0.0,0.344,-9.4,1,Brindo por Ella,17,0.0653,110.105,4,0.849
74,0.215,Amor Del Bueno,Azul Azul,0.703,251133,0.788,False,0.00119,0.0889,-4.075,1,Que Te Bendiga Dios,6,0.0439,117.364,4,0.799
104,0.224,Con Sentimiento Romantico,Azul Azul,0.421,221613,0.557,False,4.85e-06,0.0731,-5.848,1,Deja Ya Corazon,15,0.0286,99.423,3,0.538
134,0.327,El Diccionario,Azul Azul,0.715,242947,0.883,False,0.00131,0.196,-3.723,1,El Arbol De La Horca,14,0.0553,121.499,4,0.898
164,0.459,El Perro Negro,Azul Azul,0.831,166573,0.573,False,6.35e-05,0.134,-9.776,0,Nina Hechizera,7,0.0636,108.599,4,0.845
194,0.266,En Vivo Vol. 1,Azul Azul,0.573,158880,0.816,False,0.000279,0.626,-7.447,1,Las Llaves de Mi Alma (En Vivo),4,0.0638,112.515,4,0.75
224,0.311,"En Vivo, Vol. 3",Azul Azul,0.633,188880,0.664,False,7.07e-06,0.0598,-5.479,1,En Tu Sonrisa,3,0.0332,92.95,4,0.724
254,0.109,Flor del Rio,Azul Azul,0.709,193173,0.581,False,8.28e-05,0.115,-4.397,1,Te Extrano,2,0.0486,79.636,4,0.506
284,0.512,Maldito Vino,Azul Azul,0.716,230600,0.884,False,2.85e-06,0.104,-4.193,1,El Barco Lijero,2,0.0525,121.024,4,0.851
314,0.33,MIX... Con sus Mejores Exitos,Azul Azul,0.698,99400,0.74,False,9.62e-06,0.0584,-4.927,1,He De Llevarme A Rosita,4,0.0476,98.514,1,0.744
344,0.656,Palabra de Hombre,Azul Azul,0.718,226587,0.81,False,0.0113,0.0437,-6.199,1,Palabra de Hombre,11,0.0578,118.043,4,0.845
374,0.0497,Recuerdame y Ven,Azul Azul,0.767,231200,0.753,False,0.00067,0.128,-6.882,1,Me Pasa Lo Mismo,5,0.0409,118.762,4,0.762
404,0.48,Sin Excusa Ni Pretexto,Azul Azul,0.854,182893,0.73,False,0.0,0.224,-4.337,1,Es Logico,33,0.0412,119.931,4,0.754
17,0.00235,Moments Extended Mixes,Darude,0.733,417907,0.856,False,0.368,0.0711,-5.235,0,Till I Could Find,4,0.0971,128.006,4,0.351
47,7e-05,In The Darkness,Darude,0.441,185000,0.948,False,0.482,0.545,-6.652,0,In The Darkness - Trance Edit,6,0.0511,133.996,4,0.516
77,2.23e-05,Rush,Darude,0.451,236467,0.965,False,0.0102,0.0995,-6.563,1,Next To You - RMX radio edit,1,0.0446,138.005,4,0.146
12,0.833,IV Play (Deluxe Edition),Dream,0.47,23067,0.206,False,1.32e-05,0.737,-24.005,0,Outro,0,0.662,88.967,5,0.279
42,0.116,Love King (Deluxe),Dream,0.458,161307,0.734,True,0,0.292,-5.99,1,Nikki Part 2,23,0.0625,128.612,4,0.331
72,0.725,Love Vs Money,Dream,0.422,389773,0.376,True,0,0.578,-11.348,0,Fancy,6,0.0335,145.959,4,0.565
102,0.0208,"Ménage à Trois: Sextape Vol. 1, 2, 3",Dream,0.547,122594,0.722,True,0.0168,0.256,-6.919,0,Hell Mary,27,0.0804,119.907,4,0.481
132,0.0936,Terius Nash : 1977,Dream,0.582,336053,0.714,True,0.000746,0.107,-5.299,0,Wake Me When It's Over,27,0.0493,119.949,4,0.229
18,0.0139,Death Before Dishonour (Kill the Snitches),Coo Coo Cal,0.79,234502,0.47,True,2.23e-06,0.11,-7.599,0,N U On U,2,0.0737,157.04,4,0.442
48,0.0554,Still Walkin,Coo Coo Cal,0.793,255000,0.751,False,0.00111,0.256,-6.013,0,Ride Till We Die Feat: Twista,13,0.174,151.958,4,0.659
21,0.0456,I Am Not A Human Being II (Deluxe),Lil' Wayne,0.758,271533,0.621,True,0,0.335,-4.562,1,Curtains,41,0.12,127.925,4,0.487
51,0.00473,Tha Carter II [Deluxe Edition (Explicit)],Lil' Wayne,0.531,320547,0.717,True,0,0.096,-7.182,0,Tha Mobb,0,0.36,149.228,4,0.223
81,0.0143,Tha Carter IV (Deluxe),Lil' Wayne,0.589,286973,0.821,True,0,0.112,-4.473,1,John,59,0.111,77.472,4,0.424
111,0.000402,Tha Carter IV (Explicit Version),Lil' Wayne,0.364,305840,0.841,True,0,0.242,-4.831,1,She Will,37,0.119,100.14,5,0.0837
141,0.834,500 Degreez,Lil' Wayne,0.647,200227,0.0927,True,0,0.349,-16.724,1,Fly Talkin' Go Home,17,0.861,90.799,4,0.66
171,0.416,Gettin' Some Head,Lil' Wayne,0.446,163947,0.947,False,0,0.578,-4.965,0,This What I Call Her,5,0.697,87.062,4,0.548
201,0.0265,Lights Out,Lil' Wayne,0.761,282693,0.636,False,0,0.23,-8.149,0,Everything,26,0.309,89.019,4,0.735
231,0.00142,Like Father Like Son,Lil' Wayne,0.699,280000,0.797,True,0,0.122,-2.894,1,No More,31,0.0374,148.108,4,0.485
261,0.00397,Sorry 4 the Wait 2,Lil' Wayne,0.67,293460,0.683,True,0,0.0806,-5.211,0,Drunk in Love,27,0.21,139.975,4,0.526
291,0.09,Tha Block Is Hot,Lil' Wayne,0.685,107160,0.787,True,0,0.485,-6.773,0,Intro,22,0.272,91.218,4,0.811
321,0.938,Tha Carter,Lil' Wayne,0.627,23960,0.536,True,0,0.185,-15.082,1,On The Block #2,0,0.958,83.061,4,0.961
351,0.0514,Tha Carter II - Chopped & Screwed,Lil' Wayne,0.642,188093,0.418,True,2.16e-05,0.721,-13.994,0,Fly In - Chopped & Screwed,17,0.364,151.087,4,0.51
381,0.186,Tha Carter III,Lil' Wayne,0.787,269533,0.479,True,0.000764,0.111,-8.248,0,Shoot Me Down,33,0.128,149.995,4,0.715
411,0.81,Tha Carter V,Lil' Wayne,0.657,120303,0.814,False,0,0.445,-16.493,0,I Love You Dwayne,51,0.937,136.142,3,0.0788
441,0.104,Welcome To The Concrete Jungle,Lil' Wayne,0.574,195240,0.736,False,0,0.4,-4.42,1,Spitter,20,0.31,160.675,4,0.564
13,0.948,The Black Rob Report (Explicit Version U.S. Version),Black Rob,0.445,102880,0.94,True,5.5e-05,0.937,-7.846,1,Back to Live Action (Interlude),5,0.734,92.051,4,0.404
43,0.473,"Game Tested, Streets Approved",Black Rob,0.491,253582,0.717,True,0,0.297,-6.135,0,Get Involved,3,0.48,176.118,4,0.616
73,0.393,Life Story,Black Rob,0.578,275427,0.711,True,0,0.162,-7.049,0,Muscle Game (feat. Mark Curry & Mario Winans),18,0.307,90.766,4,0.684
103,0.217,The Black Rob Report (Amended Version U.S. Version),Black Rob,0.53,258547,0.685,False,3.49e-05,0.276,-5.71,0,Long Live B.R.,1,0.209,81.972,4,0.713
28,0.00911,Afroholic...The Even Better Times,Afroman,0.943,330387,0.507,True,0,0.102,-11.227,1,Leaving California,11,0.325,99.994,4,0.51
58,0.355,Cold Fro-T-5 and Two Frigg Fraggs,Afroman,0.722,233245,0.866,True,0,0.42,-4.39,1,Sure Do,17,0.188,104.146,4,0.58
88,0.156,Happy to Be Alive,Afroman,0.74,193187,0.422,False,0,0.146,-7.638,1,High on the Highway,24,0.249,94.034,4,0.243
118,0.00138,Marijuana Music,Afroman,0.917,223133,0.33,True,0.00123,0.0481,-8.411,1,Hit This Blunt With Me,28,0.109,91.991,4,0.463
148,0.101,The Good Times,Afroman,0.912,279960,0.413,False,0,0.287,-8.843,1,Hush,41,0.185,99.96,4,0.505
178,0.144,Waiting to Inhale,Afroman,0.828,439280,0.578,False,2.37e-06,0.179,-6.725,1,In Your Pussy,39,0.139,95.022,4,0.808
20,0.00281,Horrorscope,Eve 6,0.342,187560,0.872,False,8.59e-05,0.468,-5.235,1,Nightmare,0,0.0569,156.521,4,0.657
3,0.0149,14:59,Sugar Ray,0.446,217973,0.899,False,1.82e-05,0.124,-3.044,1,Personal Space Invader,26,0.0464,167.638,4,0.42
33,0.205,In The Pursuit of Leisure,Sugar Ray,0.708,231267,0.707,False,1.46e-05,0.0704,-6.243,1,56 Hope Rd,13,0.0586,84.012,4,0.444
63,0.0929,Music For Cougars,Sugar Ray,0.753,218560,0.758,False,0.0,0.78,-5.759,1,Girls Were Made To Love,27,0.193,87.025,4,0.886
7,3.42e-05,American Hi-Fi,American Hi,0.361,206133,0.865,True,0.174,0.134,-4.44,1,My Only Enemy,13,0.036,92.712,4,0.308
37,4.07e-05,Fight the Frequency,American Hi,0.447,237333,0.971,False,0.00475,0.233,-4.486,1,Fight the Frequency,15,0.0637,145.002,4,0.314
67,3.31e-05,Hearts On Parade (U.S. Release),American Hi,0.504,197333,0.892,False,0.0,0.0692,-4.601,1,Highs And Lows,11,0.0406,150.217,4,0.858
2,0.331,"10,000 Days",Tool,0.241,371440,0.338,False,0.89,0.107,-14.484,1,Wings For Marie (Pt 1),61,0.0426,92.517,4,0.0362
32,1.14e-05,Lateralus,Tool,0.284,395907,0.824,False,0.844,0.125,-9.289,0,Triad,57,0.0593,106.37,3,0.479
3,0.00177,Gigi D'Agostino,Gigi D'Agostino,0.544,294507,0.888,False,0.953,0.744,-11.885,1,Angel's Simphony,11,0.0275,136.876,4,0.904
33,0.0108,"Gigi D'agostino Collection, Vol.1",Gigi D'Agostino,0.844,157250,0.908,False,0.91,0.0511,-5.487,0,Hat a Deep Into,30,0.05,119.973,4,0.89
63,0.0795,L'amour Toujours II,Gigi D'Agostino,0.268,295293,0.396,False,1.22e-06,0.1,-5.894,1,Welcome To Paradise,11,0.0337,134.935,4,0.0843
93,0.152,Suono Libero,Gigi D'Agostino,0.463,433707,0.745,False,0.0122,0.0784,-6.499,1,L'amour Toujours - Forte Forte,17,0.0288,135.033,4,0.223
123,0.0517,Suono Libero,Gigi D'Agostino,0.793,194347,0.894,False,0.148,0.171,-7.577,0,Comunitensa,9,0.0977,114.006,4,0.133
153,0.0571,The Essential Gigi D\'Agostino,Gigi D'Agostino,0.618,157413,0.953,False,0.000327,0.362,-7.871,0,Thank You For All,26,0.0354,134.923,4,0.386
13,0.239,Magic (Deluxe Edition),Smash Mouth,0.839,153553,0.611,False,0,0.116,-6.772,1,Flippin' Out - Murrman Remix,10,0.0387,113.961,4,0.961
43,0.0015,Astro Lounge,Smash Mouth,0.411,197960,0.897,False,7.74e-06,0.409,-3.861,1,Radio,32,0.0475,178.443,4,0.541
73,0.0334,Get The Picture,Smash Mouth,0.676,159147,0.895,False,0,0.333,-3.654,1,Fun,16,0.0474,125.007,4,0.893
1,0.152,On A Mission,Trick Pony,0.579,168827,0.8,False,0,0.144,-5.202,1,Nobody Ever Died of a Broken Heart,11,0.0388,152.25,4,0.539
31,0.012,Trick Pony,Trick Pony,0.669,202107,0.788,False,0,0.0931,-5.653,1,Just What I Do,29,0.0353,122.087,4,0.961
22,0.054,Tammy Cochran,Tammy Cochran,0.484,213627,0.587,False,2.41e-05,0.0713,-8.375,1,I Cry,10,0.0318,175.706,4,0.371
8,0.000242,13 Voices,Sum 41,0.429,189880,0.978,False,0.00471,0.225,-4.039,0,The Fall And The Rise,42,0.0786,166.027,4,0.574
38,0.000577,"All Killer, No Filler",Sum 41,0.521,178827,0.953,False,0.0,0.16,-4.314,1,Rhythms,44,0.058,94.072,4,0.426
68,0.00482,All the Good Shit,Sum 41,0.448,181600,0.84,True,0.00833,0.281,-5.078,1,Pieces,48,0.0334,99.952,4,0.579
98,0.000287,Does This Look Infected?,Sum 41,0.474,176440,0.841,True,0.00227,0.0427,-6.148,1,Mr. Amsterdam,20,0.0618,174.99,4,0.725
128,0.000158,Half Hour Of Power,Sum 41,0.435,169493,0.991,False,0.000156,0.296,-3.793,1,What I Believe,35,0.146,131.869,4,0.398
158,9.67e-05,Order In Decline,Sum 41,0.503,192039,0.897,False,0.000474,0.0901,-5.213,0,45 (A Matter Of Time),55,0.0756,75.529,4,0.621
188,0.0164,Underclass Hero,Sum 41,0.293,265773,0.709,False,0.0,0.129,-5.359,1,Best of Me,32,0.0304,178.12,4,0.285
26,0.297,Life Is Good,LFO,0.631,278827,0.706,False,0.00621,0.0665,-8.376,0,Dandelion - Version Featuring Kelis,10,0.0351,87.313,4,0.91
13,0.0478,Babyface Unplugged NYC 1997,Babyface,0.683,278267,0.701,False,0.0,0.67,-7.756,1,Whip Appeal,18,0.0471,114.252,3,0.684
43,0.0396,Face 2 Face,Babyface,0.818,223608,0.562,False,0.0002,0.0866,-3.43,1,Don't Take It So Personal,13,0.254,75.693,4,0.513
73,0.0829,Grown & Sexy,Babyface,0.771,211440,0.82,False,4.1e-06,0.0655,-4.281,1,She's International,13,0.0603,105.042,4,0.867
103,0.667,Playlist,Babyface,0.651,179573,0.453,False,9.71e-06,0.141,-8.57,0,Time In A Bottle,22,0.034,131.872,3,0.189
133,0.0624,The Day,Babyface,0.655,296267,0.417,False,0.0,0.0965,-7.702,1,"Every Time I Close My Eyes (with Mariah Carey, Kenny G & Sheila E.)",62,0.025,143.674,4,0.279
17,0.000148,Anthology,Alien Ant Farm,0.486,255267,0.903,False,0.0262,0.36,-4.652,1,Summer,36,0.062,133.17,4,0.592
47,0.00106,truANT,Alien Ant Farm,0.467,189667,0.975,False,1.69e-05,0.291,-3.851,1,Rubber Mallet,24,0.111,120.289,3,0.511
11,0.0639,"Dark Days, Bright Nights",Bubba Sparxxx,0.708,271400,0.633,True,0,0.203,-4.744,1,Takem' To The Water,3,0.378,84.897,4,0.56
41,0.223,Deliverence,Bubba Sparxxx,0.557,310720,0.803,True,0,0.261,-6.002,0,Warrant,5,0.319,147.923,4,0.774
71,0.0516,Gangsta Grillz 8,Bubba Sparxxx,0.759,139627,0.438,True,0,0.873,-16.965,0,Birmingham Niggaz,2,0.434,169.81,4,0.709
101,0.207,Rapper From The Country,Bubba Sparxxx,0.871,143164,0.649,True,0,0.182,-7.111,0,Ain't Shit Changed,18,0.239,103.853,4,0.24
131,0.0355,The New South,Bubba Sparxxx,0.555,243067,0.858,True,0,0.389,-4.178,0,Der She Go,7,0.0462,67.51,4,0.576
16,0.544,Cloud Nine,George Harrison,0.638,229360,0.793,False,0.00443,0.0782,-9.111,1,This Is Love - Remastered 2004,37,0.0381,126.063,4,0.792
46,0.688,Extra Texture,George Harrison,0.623,350680,0.56,False,0.58,0.1,-10.789,1,His Name Is Legs (Ladies And Gentleman),1,0.0307,105.326,4,0.503
76,0.331,Live In Japan,George Harrison,0.503,321107,0.415,False,0.00112,0.723,-11.447,1,Something - Live In Japan/1991/Digital Remaster 2004,37,0.0307,119.689,4,0.278
106,0.329,Somewhere In England,George Harrison,0.447,266760,0.543,False,0.00332,0.0633,-8.005,1,Life Itself - Remastered 2004,34,0.0252,172.859,3,0.441
8,0.453,Enigma,Keith Murray,0.828,292933,0.78,True,0,0.174,-9.792,1,"Yeah (feat. Busta Rhymes, Redman, Erick Sermon & Jamal)",16,0.685,91.104,4,0.771
38,0.237,Intellectual Violence,Keith Murray,0.556,221806,0.903,True,0,0.719,-5.249,0,Pen Life,2,0.399,94.461,4,0.595
68,0.0153,Lord Of The Metaphor,Keith Murray,0.426,296725,0.492,True,0,0.268,-15.258,0,La La La,12,0.471,172.326,4,0.528
98,0.0254,Puff Puff Pass,Keith Murray,0.389,262707,0.794,False,0,0.306,-4.576,0,Put Ya Hands Up,0,0.247,80.078,4,0.55
128,0.0753,The Most Beautifullest Hits,Keith Murray,0.688,214893,0.657,False,4e-05,0.354,-11.258,0,Danger,5,0.409,96.172,4,0.458
10,0.502,A December To Remember,Aaron Tippin,0.412,221440,0.347,False,2.16e-05,0.115,-10.346,1,A December To Remember,2,0.0349,120.753,3,0.124
40,0.41,All in the Same Boat,Aaron Tippin,0.719,161520,0.746,False,0,0.0513,-6.767,1,She Don't Know She's Beautiful,29,0.0334,116.064,4,0.794
70,0.194,Now & Then,Aaron Tippin,0.507,221320,0.9,False,1.68e-06,0.186,-4.352,1,Could Not Stop Myself,13,0.0874,98.035,4,0.665
100,0.221,Read Between the Lines,Aaron Tippin,0.702,169547,0.449,False,0,0.146,-10.959,1,I Was Born with a Broken Heart,22,0.0291,115.997,4,0.595
130,0.381,The Essential Aaron Tippin - The RCA Years,Aaron Tippin,0.597,224093,0.57,False,0.000211,0.392,-10.405,1,Whole Lotta Love On the Line,15,0.0251,105.41,4,0.584
160,0.483,What This Country Needs,Aaron Tippin,0.567,201500,0.553,False,2.42e-05,0.186,-6.693,1,I'm Leaving,33,0.0258,76.942,4,0.317
13,0.0351,Al Capone,Master P,0.712,223633,0.854,True,0.0,0.107,-5.455,0,Scared of Me (Feat. Krazy & Tori),6,0.328,144.995,4,0.62
43,0.00706,Ghetto Bill - The Best Hustler In The Game Volume 1,Master P,0.661,178467,0.362,True,6.1e-06,0.66,-15.496,1,I'm Alright,3,0.449,149.348,4,0.211
73,0.011,Ghetto Bill - The Best Hustler In The Game Volume 1 - Chopped & Screwed,Master P,0.809,271880,0.348,True,1.1e-05,0.164,-16.022,1,Hood Starr,0,0.429,134.053,4,0.416
103,0.786,Ice Cream Man,Master P,0.683,65693,0.249,True,0.0,0.492,-24.126,1,Commercial,19,0.933,111.252,3,0.645
133,0.181,Mamas Bad Boy,Master P,0.798,271493,0.565,False,0.0,0.372,-12.049,0,Shoot Em'up,2,0.417,84.712,4,0.65
163,0.159,MP Da Last Don,Master P,0.885,230333,0.47,True,1.25e-06,0.0803,-7.326,0,Gangsta B,23,0.457,79.928,4,0.621
193,0.106,Only God Can Judge Me,Master P,0.564,228040,0.576,True,0.0,0.0734,-10.714,0,Boonapalist,14,0.396,85.718,4,0.462
223,0.0856,Starring Master P,Master P,0.861,250587,0.57,True,0.0,0.101,-7.087,1,Major Players,10,0.288,90.204,4,0.347
253,0.00852,The Gift,Master P,0.719,180081,0.76,True,0.0,0.246,-7.329,0,"Change Ya Life (feat. Silkk The Shocker, Howie T)",5,0.327,140.032,4,0.713
283,0.00108,Tony Mantana,Master P,0.709,221094,0.727,True,2.35e-05,0.207,-6.892,0,Ride or Die (feat. Kay Klover & Magnolia Chop),21,0.0819,109.79,5,0.317
313,0.00637,Tru 2 Da Game,Master P,0.742,134933,0.662,True,1.68e-05,0.105,-4.868,1,1nce Upon A Time,22,0.168,141.933,4,0.713
22,0.00339,Blackout! 2,Redman,0.695,153760,0.871,True,0.0,0.0773,-3.53,1,Dangerus MCees,31,0.335,93.611,4,0.794
52,0.0103,Dare Iz A Darkside,Redman,0.701,289600,0.669,True,0.0,0.829,-8.613,1,Sooperman Luva 11,25,0.602,78.039,4,0.465
82,0.0616,Malpractice,Redman,0.668,218267,0.618,True,0.0,0.0914,-5.424,1,Lick A Shot,21,0.484,149.848,3,0.806
112,0.871,Muddy Waters,Redman,0.601,77173,0.521,True,0.0,0.685,-14.403,0,Chicken Head Convention (Skit),28,0.588,60.162,3,0.625
142,0.17,Red Gone Wild,Redman,0.651,209040,0.681,True,0.0,0.391,-10.163,1,Gimmie One,12,0.334,86.217,4,0.777
172,0.0854,Redman Presents...Reggie,Redman,0.661,232493,0.785,True,0.0,0.331,-7.2,0,Lite 1 Witcha Boi,17,0.372,149.972,4,0.374
6,0.0437,Tical (Deluxe Edition),Method Man,0.542,135000,0.538,True,2.05e-05,0.194,-10.053,1,Sub Crazy,25,0.32,86.027,4,0.457
36,0.744,4:21...The Day After,Method Man,0.554,47320,0.764,True,0.0,0.978,-17.903,1,Kids (Skit),21,0.87,117.524,5,0.263
66,0.0327,Blackout! 2,Method Man,0.459,250507,0.925,True,0.0,0.57,-2.813,0,I'm Dope Ni**a,31,0.337,84.757,4,0.451
96,0.206,Meth Lab Season 2: The Lithium,Method Man,0.57,136200,0.787,True,0.0,0.197,-7.428,1,Episode 10 - Two More Mins,33,0.154,77.55,4,0.531
126,5.68e-05,The Meth Lab,Method Man,0.556,236396,0.466,False,0.881,0.0492,-11.242,1,50 Shots - Instrumental,19,0.0969,180.196,4,0.506
156,0.275,Tical 0: The Prequel,Method Man,0.702,60147,0.548,True,0.0,0.125,-5.72,1,Ridin' For Outro,18,0.448,91.421,4,0.338
186,0.06,Tical 2000: Judgement Day,Method Man,0.599,180667,0.574,True,0.0,0.0968,-8.696,1,Perfect World,29,0.277,94.568,4,0.179
216,0.0112,Wu Massacre,Method Man,0.302,177173,0.961,True,0.0,0.0464,-0.661,1,Smooth Sailing Remix,25,0.396,167.955,4,0.741
9,0.284,Amigo,David Ball,0.559,196413,0.524,False,1.82e-05,0.101,-8.036,1,Texas Echo,10,0.0301,163.39,4,0.636
39,0.619,Heartaches By The Number,David Ball,0.545,166413,0.588,False,1.18e-05,0.211,-5.989,1,Pick Me Up On Your Way Down,14,0.0378,142.43,4,0.848
69,0.0516,Sparkle City,David Ball,0.664,162573,0.513,False,0,0.13,-7.67,1,Houston Again,9,0.0528,114.1,4,0.617
99,0.438,The Greatest Christmas,David Ball,0.541,283000,0.544,False,3.43e-05,0.14,-6.448,1,Riding With Private Malone - Acoustic,7,0.031,93.171,4,0.644
18,0.544,A Thousand Winding Roads,Joe Diffie,0.736,120240,0.782,False,0.0,0.225,-7.628,1,Liquid Heartache,7,0.036,89.397,4,0.96
48,0.365,Honky Tonk Attitude,Joe Diffie,0.704,200293,0.878,False,0.0,0.158,-4.283,1,I Can Walk The Line (If It Ain't Too Straight),10,0.0299,140.389,4,0.713
78,0.591,Live at Billy Bob's Texas,Joe Diffie,0.594,166600,0.727,False,0.000308,0.937,-8.725,1,If the Devil Danced in Empty Pockets,18,0.0353,170.048,4,0.715
108,0.538,Regular Joe,Joe Diffie,0.5,214733,0.294,False,0.0,0.0975,-13.8,1,Ain't That Bad Enough,7,0.0312,90.115,4,0.378
138,0.0567,The Essential Joe Diffie,Joe Diffie,0.657,216800,0.758,False,6.59e-05,0.323,-7.767,1,This Is Your Brain,21,0.029,91.509,4,0.551
168,0.145,Twice Upon A Time,Joe Diffie,0.601,188387,0.789,False,0.0,0.084,-7.557,1,I Got A Feelin',7,0.0281,170.841,4,0.671
25,0.0705,Spin,Darren Hayes,0.667,240227,0.933,False,0,0.0622,-5.032,1,Crush (1980 Me),29,0.0418,115.946,4,0.529
55,0.0901,This Delicate Thing We've Made,Darren Hayes,0.75,219427,0.859,False,1.38e-05,0.0948,-7.456,0,Bombs Up In My Face,12,0.137,124.659,4,0.895
16,0.019,Left Of The Middle,Natalie Imbruglia,0.585,232560,0.867,False,4.74e-06,0.362,-6.807,1,Wishing I Was There,31,0.0539,92.993,4,0.81
46,0.243,White Lilies Island,Natalie Imbruglia,0.579,208453,0.404,False,0,0.136,-10.051,0,Talk In Tongues,2,0.0335,137.946,4,0.104
27,0.21,My Songs,Toya,0.574,197440,0.252,False,0.472,0.11,-15.728,0,Inner Pain,0,0.0732,85.004,4,0.965
57,0.189,Nankofou,Toya,0.786,200720,0.51,False,0.0171,0.108,-9.322,0,Nankofou dub,0,0.0565,94.755,4,0.807
87,0.7,TO-YA,Toya,0.727,306744,0.345,False,0,0.0437,-9.936,1,Goodbye-Bye Bye - Acoustic Version,0,0.0322,93.983,4,0.584
117,0.00297,Toya og Tøs,Toya,0.382,220653,0.694,False,0,0.394,-9.111,1,Festen,0,0.265,179.639,4,0.467
10,0.244,All Hits At the House of Blues,Raphael Saadiq,0.585,154613,0.465,False,5.12e-05,0.579,-10.545,0,Lay Your Head On My Pillow,4,0.0437,81.159,4,0.531
40,0.906,Instant Vintage,Raphael Saadiq,0.774,169840,0.265,False,9.24e-05,0.111,-11.335,1,What's Life Like,4,0.299,74.971,4,0.423
70,0.00049,Live In Paris,Raphael Saadiq,0.442,140933,0.937,False,0.045,0.929,-5.128,1,Love That Girl - Live In Paris,7,0.059,141.21,4,0.4
100,0.476,Stone Rollin',Raphael Saadiq,0.444,570907,0.293,False,0.0124,0.115,-8.392,0,The Answer,22,0.0954,101.758,4,0.323
